	Energy (keV)	Breast Thickness (cm)	Compression-Distance(cm)	Kerma(mGy/hist)	Error(mGy/Hist)
231	33.0	8.25	0	1.238645782452355e-12	1.741128026662972e-15
232	33.0	9.75	0	1.30849983340231e-12	2.650869214816039e-15
233	33.0	10.25	0	1.33349844826118e-12	4.485154496327102e-15
234	34.0	2.25	0	9.59355246364003e-13	2.084828339631888e-15
235	34.0	3.75	0	1.004201422728983e-12	3.199411600319344e-15
236	34.0	4.25	0	1.024424664551522e-12	3.766626374011076e-15
237	34.0	5.75	0	1.074236699747078e-12	5.867497451172961e-15
238	34.0	6.25	0	1.09623251771053e-12	3.678375479399572e-15
239	34.0	7.75	0	1.155332058193635e-12	2.840538884957658e-15
240	34.0	8.25	0	1.17387796677239e-12	5.384436122814567e-15
241	34.0	9.75	0	1.240168345988315e-12	3.883435639368215e-15
242	34.0	10.25	0	1.263297818991138e-12	7.176347921600779e-15
243	35.0	2.25	0	9.115300838278853e-13	3.763770996655267e-15
244	35.0	3.75	0	9.552108575211185e-13	3.957818153381026e-15
245	35.0	4.25	0	9.719299544203272e-13	3.403801742528297e-15
246	35.0	5.75	0	1.022439114710108e-12	2.475261274704279e-15
247	35.0	6.25	0	1.039193927695735e-12	4.0838346628324e-15
248	35.0	7.75	0	1.09344269451562e-12	4.553246192285208e-15
249	35.0	8.25	0	1.116316863641433e-12	1.98344552499891e-15
250	35.0	9.75	0	1.177093737368323e-12	4.419570162191344e-15
251	35.0	10.25	0	1.197540535435497e-12	4.398065477433664e-15
252	36.0	2.25	0	8.680860945594445e-13	2.525864338472389e-15
253	36.0	3.75	0	9.088593142543819e-13	3.865752273574163e-15
254	36.0	4.25	0	9.244712124745308e-13	2.471805251508667e-15
255	36.0	5.75	0	9.749631761301052e-13	2.556359419778433e-15
256	36.0	6.25	0	9.897588956346266e-13	1.835946871015482e-15
257	36.0	7.75	0	1.04355790432921e-12	4.986468327698293e-15
258	36.0	8.25	0	1.06587252143442e-12	4.194697156702007e-15
259	36.0	9.75	0	1.120609408102068e-12	2.34944595159417e-15
260	36.0	10.25	0	1.142924025207275e-12	3.418949004581745e-15
261	37.0	2.25	0	8.293407548824267e-13	1.511443320584111e-15
262	37.0	3.75	0	8.69744908351011e-13	2.778794533795014e-15
263	37.0	4.25	0	8.848382619090433e-13	1.844891878619518e-15
264	37.0	5.75	0	9.292545224189522e-13	2.281736460221521e-15
265	37.0	6.25	0	9.47623173383618e-13	2.69133320530601e-15
266	37.0	7.75	0	9.96321395810034e-13	1.840168079508676e-15
267	37.0	8.25	0	1.01677480796729e-12	3.943427076973471e-15
268	37.0	9.75	0	1.070621438110435e-12	2.713246045040188e-15
269	37.0	10.25	0	1.09066345386484e-12	2.197022987113436e-15
270	38.0	2.25	0	7.920875539270096e-13	4.551724335730917e-16
271	38.0	3.75	0	8.311067169332572e-13	2.883014620721206e-15
272	38.0	4.25	0	8.480440788050405e-13	4.293543421893172e-15
273	38.0	5.75	0	8.941667745550776e-13	2.475708488174831e-15
274	38.0	6.25	0	9.071383280160822e-13	4.9543667803105e-15
275	38.0	7.75	0	9.538113160606104e-13	3.579965281613503e-15
276	38.0	8.25	0	9.731654664469008e-13	2.889486756161448e-15
277	38.0	9.75	0	1.025313598258013e-12	5.665461799612389e-15
278	38.0	10.25	0	1.047175811601885e-12	2.536576353480609e-15
279	39.0	2.25	0	7.613267437921728e-13	2.316753527532837e-15
280	39.0	3.75	0	7.98472796488326e-13	2.833301619824533e-15
281	39.0	4.25	0	8.118782342584488e-13	8.89514874027768e-16
282	39.0	5.75	0	8.551145410984396e-13	5.185796661191859e-15
283	39.0	6.25	0	8.687091418447936e-13	2.463909210545597e-15
284	39.0	7.75	0	9.157961719282052e-13	4.010443033437717e-15
285	39.0	8.25	0	9.351939753090104e-13	2.677350113638344e-15
286	39.0	9.75	0	9.84195123061e-13	4.152291265136894e-15
287	39.0	10.25	0	1.001879877111599e-12	2.967434738525256e-15
288	40.0	2.25	0	7.306453027382721e-13	2.010813340584994e-15
289	40.0	3.75	0	7.688853259333292e-13	5.788725797446853e-16
290	40.0	4.25	0	7.811332979397991e-13	4.751156463574573e-15
291	40.0	5.75	0	8.224819434715242e-13	4.465132189925298e-15
292	40.0	6.25	0	8.358080121607111e-13	3.485389932940332e-15
293	40.0	7.75	0	8.804808993656463e-13	3.565413133524165e-15
294	40.0	8.25	0	8.985691129110047e-13	3.69577582992902e-15
295	40.0	9.75	0	9.454127444795453e-13	3.990884442010756e-15
296	40.0	10.25	0	9.621477151949409e-13	3.113371097442266e-15
297	41.0	2.25	0	7.059482903869605e-13	2.736348320124357e-15
298	41.0	3.75	0	7.376998912154838e-13	2.350867080603403e-15
299	41.0	4.25	0	7.515669924730524e-13	2.317154306216313e-15
300	41.0	5.75	0	7.914962542740349e-13	3.795664118984728e-15
301	41.0	6.25	0	8.066015131942078e-13	1.378949220461828e-15
302	41.0	7.75	0	8.478020031081852e-13	2.724809893170975e-15
303	41.0	8.25	0	8.665383974811887e-13	2.300295965607608e-15
304	41.0	9.75	0	9.152061950932463e-13	3.201131773100041e-15
305	41.0	10.25	0	9.255810567896222e-13	4.429712322885291e-15
306	42.0	2.25	0	6.815713999954245e-13	3.107706924398006e-15
307	42.0	3.75	0	7.166512109512058e-13	2.480631920524379e-15
308	42.0	4.25	0	7.267575405904142e-13	5.613445958735975e-15
309	42.0	5.75	0	7.66446049512557e-13	3.176523567176133e-15
310	42.0	6.25	0	7.77937369614102e-13	1.333361189562994e-15
311	42.0	7.75	0	8.170980741480192e-13	1.775815729979763e-15
312	42.0	8.25	0	8.345777914062e-13	1.408885852706993e-15
313	42.0	9.75	0	8.803340665659147e-13	2.474669264116721e-15
314	42.0	10.25	0	8.98622025631629e-13	3.023920705601261e-15
315	43.0	2.25	0	6.588043791288775e-13	2.664446216042959e-15
316	43.0	3.75	0	6.912994036821704e-13	4.140593098216439e-15
317	43.0	4.25	0	7.064549296869363e-13	1.801714396215635e-15
318	43.0	5.75	0	7.389261435159482e-13	5.557427858313534e-15
319	43.0	6.25	0	7.499306665877511e-13	2.473005597266731e-15
320	43.0	7.75	0	7.933138062274735e-13	1.175118145382541e-15
321	43.0	8.25	0	8.062827140524472e-13	2.737882222435791e-15
322	43.0	9.75	0	8.53283760964845e-13	2.220605531564641e-15
323	43.0	10.25	0	8.678995772192445e-13	3.067451546766291e-15
324	44.0	2.25	0	6.38910518992221e-13	2.034029032989535e-15
325	44.0	3.75	0	6.718685298509753e-13	1.654103751773065e-15
326	44.0	4.25	0	6.817976018760925e-13	1.397018580603254e-15
327	44.0	5.75	0	7.167358713042043e-13	2.08226794678959e-15
